ID,Name,Address,Image,Type
0,North Crossing,1,202,
1,West Siding,2,214,
2,East Siding,3,210,
3,South Crossing,4,206,
4,Spare 1,104,210,
5,Spare 6,105,206,
6,Spare 7,106,202,
7,Spare 8,107,214,
8,Spare 9,108,202,
9,Spare 10,109,214,
10,Spare 11,110,202,
11,Spare 12,111,214,
12,Spare 13,100,202,
13,Spare 14,101,214,
14,Spare 15,102,210,
15,Spare 16,103,206,
16,Spare 17,104,210,
17,Spare 18,105,206,
18,Spare 19,106,202,
19,Spare 20,107,214,
20,Spare 21,108,202,
21,Spare 22,109,214,
22,Spare 23,110,202,
23,Spare 24,111,214,
24,Spare 25,100,202,
25,Spare 26,101,214,
26,Spare 27,102,210,
27,Spare 28,103,206,
28,Spare 29,104,210,
29,Spare 30,105,206,
30,Spare 31,106,202,
32,Spare 32,107,214,
32,Spare 33,108,202,
33,Spare 34,109,214,
34,Spare 35,110,202,
35,Spare 36,111,214,
