LocoID,Function,Name,Slot,Momentary
0,0,Lights,0,
0,1,Whistle,1,
0,2,Horn,2,1
0,8,Engine,3,
0,9,Ditch,9,
1,0,Lights,0,
1,1,Whistle,1,
1,2,Horn,2,1
1,8,Engine,3,
2,0,Lights,0,
2,1,Whistle,1,
2,2,Horn,2,1
2,8,Engine,3,
3,0,Lights,0,
3,1,Whistle,1,
3,2,Horn,2,1
3,8,Engine,3,
4,0,Lights,0,
4,1,Whistle,1,
4,2,Horn,2,1
4,8,Engine,3,
5,0,Lights,0,
5,1,Whistle,1,
5,2,Horn,2,1
5,8,Engine,3,
6,0,Lights,0,
6,1,Whistle,1,
6,2,Horn,2,1
6,8,Engine,3,
7,0,Lights,0,
7,1,Whistle,1,
7,2,Horn,2,1
7,8,Engine,3,
8,0,Lights,0,
8,1,Whistle,1,
8,2,Horn,2,1
8,8,Engine,3,
9,0,Lights,0,
9,1,Whistle,1,
9,2,Horn,2,1
9,8,Engine,3,
10,0,Lights,0,
10,1,Whistle,1,
10,2,Horn,2,1
10,8,Engine,3,
11,0,Lights,0,
11,1,Whistle,1,
11,2,Horn,2,1
11,8,Engine,3,
12,0,Lights,0,
12,1,Whistle,1,
12,2,Horn,2,1
12,8,Engine,3,

