LocoID,Function,Name,Slot,Momentary
0,0,Lights,0,
0,1,Whistle,1,
0,2,Horn,2,1
0,8,Engine,3,
0,9,Ditch,9,
1,0,Lights,0,
1,1,Whistle,1,
1,2,Horn,2,1
1,8,Engine,3,
2,0,Lights,0,
2,1,Whistle,1,
2,2,Horn,2,1
2,8,Engine,3,
3,0,Lights,0,
3,1,Whistle,1,
3,2,Horn,2,1
3,8,Engine,3,
4,0,Lights,0,
4,1,Whistle,1,
4,2,Horn,2,1
4,8,Engine,3,
5,0,Lights,0,
5,1,Whistle,1,
5,2,Horn,2,1
5,8,Engine,3,
6,0,Lights,0,
6,1,Whistle,1,
6,2,Horn,2,1
6,8,Engine,3,
7,0,Lights,0,
7,1,Whistle,1,
7,2,Horn,2,1
7,8,Engine,3,
8,0,Lights,0,
8,1,Whistle,1,
8,2,Horn,2,1
8,8,Engine,3,
9,0,Lights,0,
9,1,Whistle,1,
9,2,Horn,2,1
9,8,Engine,3,
10,0,Lights,0,
10,1,Whistle,1,
10,2,Horn,2,1
10,8,Engine,3,
11,0,Lights,0,
11,1,Whistle,1,
11,2,Horn,2,1
11,8,Engine,3,
12,0,Lights,0,
12,1,Whistle,1,
12,2,Horn,2,1
12,8,Engine,3,
13,0,Lights,0,
13,1,Whistle,1,
13,2,Horn,2,1
13,8,Engine,3,
14,0,Lights,0,
14,1,Whistle,1,
14,2,Horn,2,1
14,8,Engine,3,
15,0,Lights,0,
15,1,Whistle,1,
15,2,Horn,2,1
15,8,Engine,3,
16,0,Lights,0,
16,1,Whistle,1,
16,2,Horn,2,1
16,8,Engine,3,
17,0,Lights,0,
17,1,Whistle,1,
17,2,Horn,2,1
17,8,Engine,3,
18,0,Lights,0,
18,1,Whistle,1,
18,2,Horn,2,1
18,8,Engine,3,
19,0,Lights,0,
19,1,Whistle,1,
19,2,Horn,2,1
19,8,Engine,3,
20,0,Lights,0,
20,1,Whistle,1,
20,2,Horn,2,1
20,8,Engine,3,
21,0,Lights,0,
21,1,Whistle,1,
21,2,Horn,2,1
21,8,Engine,3,
22,0,Lights,0,
22,1,Whistle,1,
22,2,Horn,2,1
22,8,Engine,3,
23,0,Lights,0,
23,1,Whistle,1,
23,2,Horn,2,1
23,8,Engine,3,
24,0,Lights,0,
24,1,Whistle,1,
24,2,Horn,2,1
24,8,Engine,3,
25,0,Lights,0,
25,1,Whistle,1,
25,2,Horn,2,1
25,8,Engine,3,
26,0,Lights,0,
26,1,Whistle,1,
26,2,Horn,2,1
26,8,Engine,3,
27,0,Lights,0,
27,1,Whistle,1,
27,2,Horn,2,1
27,8,Engine,3,
28,0,Lights,0,
28,1,Whistle,1,
28,2,Horn,2,1
28,8,Engine,3,
29,0,Lights,0,
29,1,Whistle,1,
29,2,Horn,2,1
29,8,Engine,3,
30,0,Lights,0,
30,1,Whistle,1,
30,2,Horn,2,1
30,8,Engine,3,
31,0,Lights,0,
31,1,Whistle,1,
31,2,Horn,2,1
31,8,Engine,3,
32,0,Lights,0,
32,1,Whistle,1,
32,2,Horn,2,1
32,8,Engine,3,
33,0,Lights,0,
34,0,Lights,0,
35,0,Lights,0,
36,0,Lights,0,
37,0,Lights,0,
38,0,Lights,0,
39,0,Lights,0,
40,0,Lights,0,
41,0,Lights,0,
42,0,Lights,0,
43,0,Lights,0,
44,0,Lights,0,
45,0,Lights,0,

